#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2012-09-22 00:19:06
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra120921.ibl 688882 USER-2E87126D0E 830030000 2012-09-21 13:49:09 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 21171 0 236 1236 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 689492 USER-2E87126D0E 830030000 2012-09-21 13:50:05 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 689493 USER-2E87126D0E 830030000 2012-09-21 13:50:06 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 689494 USER-2E87126D0E 830030000 2012-09-21 13:50:06 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 689497 USER-2E87126D0E 830030000 2012-09-21 13:50:06 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 93 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 689498 USER-2E87126D0E 830030000 2012-09-21 13:50:06 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 689539 USER-2E87126D0E 830030000 2012-09-21 13:50:10 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 301 0 78 362 374 0 /adm - -
d:\iislog\W3SVC\ra120921.ibl 689541 USER-2E87126D0E 830030000 2012-09-21 13:50:10 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 302 0 62 255 375 0 /adm/index.php - -
d:\iislog\W3SVC\ra120921.ibl 689545 USER-2E87126D0E 830030000 2012-09-21 13:50:10 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 140 403 384 0 /adm/login.php - -
d:\iislog\W3SVC\ra120921.ibl 693166 USER-2E87126D0E 830030000 2012-09-21 13:54:13 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 345 273 0 /adm/login.php - -
d:\iislog\W3SVC\ra120921.ibl 693206 USER-2E87126D0E 830030000 2012-09-21 13:54:16 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 247 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 693211 USER-2E87126D0E 830030000 2012-09-21 13:54:17 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693213 USER-2E87126D0E 830030000 2012-09-21 13:54:17 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 247 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 693216 USER-2E87126D0E 830030000 2012-09-21 13:54:17 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693249 USER-2E87126D0E 830030000 2012-09-21 13:54:19 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693254 USER-2E87126D0E 830030000 2012-09-21 13:54:19 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693259 USER-2E87126D0E 830030000 2012-09-21 13:54:19 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693262 USER-2E87126D0E 830030000 2012-09-21 13:54:19 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 693264 USER-2E87126D0E 830030000 2012-09-21 13:54:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 347 0 /index.php - -
